year,city,avg_temp
1743,Baltimore,5.34
1744,Baltimore,13.88
1745,Baltimore,4.00
1746,Baltimore,
1747,Baltimore,
1748,Baltimore,
1749,Baltimore,
1750,Baltimore,12.51
1751,Baltimore,13.28
1752,Baltimore,5.45
1753,Baltimore,11.91
1754,Baltimore,12.22
1755,Baltimore,9.15
1756,Baltimore,12.26
1757,Baltimore,11.36
1758,Baltimore,10.48
1759,Baltimore,11.43
1760,Baltimore,10.10
1761,Baltimore,12.55
1762,Baltimore,11.92
1763,Baltimore,9.70
1764,Baltimore,11.92
1765,Baltimore,11.39
1766,Baltimore,12.45
1767,Baltimore,10.97
1768,Baltimore,10.90
1769,Baltimore,11.52
1770,Baltimore,11.39
1771,Baltimore,12.66
1772,Baltimore,12.07
1773,Baltimore,12.41
1774,Baltimore,11.89
1775,Baltimore,12.66
1776,Baltimore,11.58
1777,Baltimore,11.23
1778,Baltimore,9.16
1779,Baltimore,3.15
1780,Baltimore,
1781,Baltimore,12.14
1782,Baltimore,11.55
1783,Baltimore,11.24
1784,Baltimore,10.93
1785,Baltimore,10.94
1786,Baltimore,11.45
1787,Baltimore,11.45
1788,Baltimore,12.16
1789,Baltimore,11.84
1790,Baltimore,11.79
1791,Baltimore,11.83
1792,Baltimore,11.22
1793,Baltimore,12.21
1794,Baltimore,12.20
1795,Baltimore,11.69
1796,Baltimore,11.45
1797,Baltimore,11.35
1798,Baltimore,12.30
1799,Baltimore,11.81
1800,Baltimore,11.86
1801,Baltimore,12.27
1802,Baltimore,12.58
1803,Baltimore,12.47
1804,Baltimore,12.17
1805,Baltimore,12.73
1806,Baltimore,11.83
1807,Baltimore,11.62
1808,Baltimore,11.89
1809,Baltimore,11.16
1810,Baltimore,11.55
1811,Baltimore,11.65
1812,Baltimore,10.24
1813,Baltimore,11.35
1814,Baltimore,11.13
1815,Baltimore,10.70
1816,Baltimore,10.32
1817,Baltimore,10.25
1818,Baltimore,10.68
1819,Baltimore,11.38
1820,Baltimore,11.47
1821,Baltimore,10.77
1822,Baltimore,12.22
1823,Baltimore,11.44
1824,Baltimore,11.89
1825,Baltimore,12.56
1826,Baltimore,12.63
1827,Baltimore,12.32
1828,Baltimore,13.40
1829,Baltimore,11.49
1830,Baltimore,12.81
1831,Baltimore,10.99
1832,Baltimore,11.76
1833,Baltimore,11.90
1834,Baltimore,12.06
1835,Baltimore,11.32
1836,Baltimore,10.35
1837,Baltimore,11.19
1838,Baltimore,11.40
1839,Baltimore,11.70
1840,Baltimore,11.84
1841,Baltimore,11.40
1842,Baltimore,12.00
1843,Baltimore,11.01
1844,Baltimore,11.83
1845,Baltimore,12.03
1846,Baltimore,12.34
1847,Baltimore,11.65
1848,Baltimore,11.88
1849,Baltimore,11.38
1850,Baltimore,11.77
1851,Baltimore,12.01
1852,Baltimore,11.50
1853,Baltimore,12.31
1854,Baltimore,12.50
1855,Baltimore,11.79
1856,Baltimore,10.57
1857,Baltimore,10.82
1858,Baltimore,11.83
1859,Baltimore,11.82
1860,Baltimore,11.76
1861,Baltimore,12.00
1862,Baltimore,11.45
1863,Baltimore,11.39
1864,Baltimore,11.51
1865,Baltimore,11.92
1866,Baltimore,11.47
1867,Baltimore,10.90
1868,Baltimore,10.44
1869,Baltimore,11.20
1870,Baltimore,12.22
1871,Baltimore,11.76
1872,Baltimore,11.24
1873,Baltimore,11.10
1874,Baltimore,11.79
1875,Baltimore,10.33
1876,Baltimore,11.52
1877,Baltimore,12.30
1878,Baltimore,12.53
1879,Baltimore,11.91
1880,Baltimore,12.33
1881,Baltimore,12.50
1882,Baltimore,11.88
1883,Baltimore,11.36
1884,Baltimore,12.02
1885,Baltimore,10.88
1886,Baltimore,11.20
1887,Baltimore,11.74
1888,Baltimore,11.09
1889,Baltimore,12.02
